Word;F2;Original Word;ID;Code;Attribute;Org. Attr
ઉબેળવું, ઉભેળવું;ઉબેળવું, ઉભેળવું;ઉબેળવું, ઉભેળવું;149354.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઉભડક, ઉભડૂક;ઉભડક, ઉભડૂક;ઉભડક, ઉભડૂક;149356.00;10.00;વિ.;વિ.
ઉભેડું(-રું);ઉભેડું(-રું);ઉભેડું(-રું);149396.00;10.00;વિ.;વિ.
ઉમટાવવું, ઉમડાવવું;ઉમટાવવું, ઉમડાવવું;ઉમટાવવું, ઉમડાવવું;149403.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઉમદા(-દું);ઉમદા(-દું);ઉમદા(-દું);149404.00;10.00;વિ.;વિ.
ઉમર, ઉમ્મર;ઉમર, ઉમ્મર;ઉમર, ઉમ્મર;149406.00;7.00;સ્ત્રી.;સ્ત્રી.
ઉમાડ(-ડિયું);ઉમાડ(-ડિયું);ઉમાડ(-ડિયું);149423.00;3.00;ન.;ન.
ઉમાધવ, ઉમાપતિ, ઉમેશ;ઉમાધવ, ઉમાપતિ, ઉમેશ;ઉમાધવ, ઉમાપતિ, ઉમેશ;149425.00;5.00;પું.;પું.
ઉમાર્ગ(-રગ);ઉમાર્ગ, -રગ;ઉમાર્ગ, -રગ;149428.00;5.00;પું.;પું.
ઉમિયાધીશ, ઉમિયાવર;ઉમિયાધીશ, ઉમિયાવર;ઉમિયાધીશ, ઉમિયાવર;149432.00;5.00;પું.;પું.
ઉરગભૂષણ, ઉરગવિશાલી;ઉરગભૂષણ, ઉરગવિશાલી;ઉરગભૂષણ, ઉરગવિશાલી;149445.00;5.00;પું.;પું.
ઉરજ, ઉરોજ;ઉરજ, ઉરોજ;ઉરજ, ઉરોજ;149448.00;3.00;ન.;પું., ન.
ઉરજ, ઉરોજ;ઉરજ, ઉરોજ;ઉરજ, ઉરોજ;149448.00;5.00;પું.;પું., ન.
ઉરમંડલ(-ળ);ઉરમંડલ(-ળ);ઉરમંડલ(-ળ);149453.00;3.00;ન.;ન.
ઉરસ્ત્ર, ઉરસ્ત્રાણ;ઉરસ્ત્ર, ઉરસ્ત્રાણ;ઉરસ્ત્ર, ઉરસ્ત્રાણ;149459.00;3.00;ન.;ન.
ઉરસ્થલ(-ળ), ઉરઃસ્થલ(-ળ);ઉરસ્થલ(-ળ), ઉરઃસ્થલ(-ળ);ઉરસ્થલ(-ળ), ઉરઃસ્થલ(-ળ);149460.00;3.00;ન.;ન.
ઉરાઉર(-રી);ઉરાઉર, -રી;ઉરાઉર, -રી;149462.00;1.00;અ.;અ.
ઉરેફ-બંડી;ઉરેફ-બંડી;ઉરેફ-બંડી;149470.00;7.00;સ્ત્રી.;સ્ત્રી.
ઉરોગ્રહ, ઉરોઘાત;ઉરોગ્રહ, ઉરોઘાત;ઉરોગ્રહ, ઉરોઘાત;149472.00;5.00;પું.;પું.
ઉર્ફ(-ર્ફે);ઉર્ફ(-ર્ફે);ઉર્ફ(-ર્ફે);149482.00;1.00;અ.;અ.
ઉલંઘવું, ઉલ્લંઘવું;ઉલંઘવું, ઉલ્લંઘવું;ઉલંઘવું, ઉલ્લંઘવું;149497.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઉલઝણ(-ન);ઉલઝણ, -ન;ઉલઝણ, -ન;149491.00;7.00;સ્ત્રી.;સ્ત્રી.
ઉલમા, ઉલેમા;ઉલમા, ઉલેમા;ઉલમા, ઉલેમા;149494.00;5.00;પું.;પું.
ઉલળાવવું;ઉલળાવવું (લ’);ઉલળાવવું (લ’);149496.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઉલાંચો ;ઉલાંચો ();ઉલાંચો ();149507.00;5.00;પું.;પું.
ઉલાંટ ;ઉલાંટ ();ઉલાંટ ();149508.00;7.00;સ્ત્રી.;સ્ત્રી.
ઉલાણ;ઉલાણ (લા’);ઉલાણ (લા’);149499.00;10.00;વિ.;વિ.
ઉલાળ;ઉલાળ (લા’);ઉલાળ (લા’);149500.00;10.00;વિ.;વિ.
ઉલાળો;ઉલાળો (લા’);ઉલાળો (લા’);149506.00;5.00;પું.;પું.
ઉલેચ(-ચો);ઉલેચ(-ચો) (લે’);ઉલેચ(-ચો) (લે’);149514.00;5.00;પું.;પું.
ઉલેચણિયો, ઉલેચણો;ઉલેચણિયો, ઉલેચણો;ઉલેચણિયો, ઉલેચણો;149515.00;5.00;પું.;પું.
ઉલેચણી;ઉલેચણી (લે’);ઉલેચણી (લે’);149516.00;7.00;સ્ત્રી.;સ્ત્રી.
ઉલેચો;ઉલેચો (લે’);ઉલેચો (લે’);149518.00;5.00;પું.;પું.
ઉલેર, ઉલ્લર;ઉલેર, ઉલ્લર (લે’);ઉલેર, ઉલ્લર (લે’);149520.00;10.00;વિ.;વિ.
ઉલ્લાદ;ઉલ્લાદ (લ્લા’);ઉલ્લાદ (લ્લા’);149529.00;5.00;પું.;પું.
ઉલ્લાવવું;ઉલ્લાવવું (લ્લા’);ઉલ્લાવવું (લ્લા’);149532.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઉલ્લુ(-લ્લૂ);ઉલ્લુ(-લ્લૂ);ઉલ્લુ(-લ્લૂ);149538.00;3.00;ન.;ન.
ઉશીકું(-સું);ઉશીકું(-સું);ઉશીકું(-સું);149556.00;3.00;ન.;ન.
ઉશીર, ઉષીર;ઉશીર, ઉષીર;ઉશીર, ઉષીર;149558.00;3.00;ન.;ન.
ઉશેટવું, ઉસેટવું;ઉશેટવું, ઉસેટવું;ઉશેટવું, ઉસેટવું;149560.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઉષઃકાલ(-ળ);ઉષઃકાલ(-ળ);ઉષઃકાલ(-ળ);149569.00;5.00;પું.;પું.
ઉષપાન, ઉષઃપાન;ઉષપાન, ઉષઃપાન;ઉષપાન, ઉષઃપાન;149567.00;3.00;ન.;ન.
ઉષ્ટ્રિકા, ઉષ્ટ્રી;ઉષ્ટ્રિકા, ઉષ્ટ્રી;ઉષ્ટ્રિકા, ઉષ્ટ્રી;149574.00;7.00;સ્ત્રી.;સ્ત્રી.
ઉષ્ણતાગમન, ઉષ્ણતાવિકિરણ;ઉષ્ણતાગમન, ઉષ્ણતાવિકિરણ;ઉષ્ણતાગમન, ઉષ્ણતાવિકિરણ;149578.00;3.00;ન.;ન.
ઉષ્ણૌષધિ(-ધી);ઉષ્ણૌષધિ(-ધી);ઉષ્ણૌષધિ(-ધી);149590.00;7.00;સ્ત્રી.;સ્ત્રી.
ઉસવણ(-ણું);ઉસવણ(-ણું);ઉસવણ(-ણું);149604.00;3.00;ન.;ન.
ઊકટો, ઊગટો, ઊપટો;ઊકટો, ઊગટો, ઊપટો;ઊકટો, ઊગટો, ઊપટો;166505.00;5.00;પું.;પું.
ઊંકરાંટો ;ઊંકરાંટો ();ઊંકરાંટો ();166816.00;5.00;પું.;પું.
ઊંકારો;ઊંકારો (ઊં’);ઊંકારો (ઊં’);166817.00;5.00;પું.;પું.
ઊખત, ઊખદ;ઊખત, ઊખદ;ઊખત, ઊખદ;166518.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊખળ(-ળી, -ળુ)ં;ઊખળ(-ળી, -ળુ)ં;ઊખળ(-ળી, -ળુ)ં;166520.00;3.00;ન.;ન.
ઊંઘટ્ટુ, ઊંઘટિયું, ઊંઘરેટું;ઊંઘટ્ટુ, ઊંઘટિયું, ઊંઘરેટું;ઊંઘટ્ટુ, ઊંઘટિયું, ઊંઘરેટું;166820.00;10.00;વિ.;વિ.
ઊંઘાળ(+વું);ઊંઘાળ, વું;ઊંઘાળ, વું;166827.00;10.00;વિ.;વિ.
ઊંચકનું, ઊંચકાનું;ઊંચકનું, ઊંચકાનું (ક’, કા’);ઊંચકનું, ઊંચકાનું (ક’, કા’);166830.00;10.00;વિ.;વિ.
ઊંચકાઊંચક(-કી);ઊંચકાઊંચક, -કી;ઊંચકાઊંચક, -કી;166832.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊંચકાનું ;ઊંચકાનું (કા’);ઊંચકાનું (કા’);166833.00;10.00;વિ.;વિ.
ઊચલવું, ઊચળવું;ઊચલવું, ઊચળવું;ઊચલવું, ઊચળવું;166551.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઊચલાઊચલ(-લી);ઊચલાઊચલ(-લી);ઊચલાઊચલ(-લી);166552.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊંચવર્ણી(-ર્ણું);ઊંચવર્ણી(-ર્ણું);ઊંચવર્ણી(-ર્ણું);166839.00;10.00;વિ.;વિ.
ઊંચાણમાપક;ઊંચાણમાપક, યંત્ર;ઊંચાણમાપક, યંત્ર;166842.00;3.00;ન.;ન.
ઊછરેલપાછરેલ, ઊછર્યુંપાછર્યું;ઊછરેલપાછરેલ, ઊછર્યુંપાછર્યું;ઊછરેલપાછરેલ, ઊછર્યુંપાછર્યું;166558.00;10.00;વિ.;વિ.
ઊજરવું, ઊઝરવું;ઊજરવું, ઊઝરવું;ઊજરવું, ઊઝરવું;166569.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊજળુંફટ, ઊજળુંફટાક, ઊજળુંબગ;ઊજળુંફટ, ઊજળુંફટાક, ઊજળુંબગ, ઊજળુંબગ જેવું;ઊજળુંફટ, ઊજળુંફટાક, ઊજળુંબગ, ઊજળુંબગ જેવું;166578.00;10.00;વિ.;વિ.
ઊટકવું, ઊડકવું;ઊટકવું, ઊડકવું;ઊટકવું, ઊડકવું;166581.00;20.00;સ ક્રિ.;સ. ક્રિ.
ઊંટવૈદ(-દ્ય);ઊંટવૈદ(-દ્ય);ઊંટવૈદ(-દ્ય);166861.00;5.00;પું.;પું.
